,model_name,model_title,price,rating_count,avg_rating,Screen Size,Color Gamut (Typ.),Aspect Ratio,Display Resolution,Resolution,Brightness,Contrast Ratio,Surface Treatment,HDMI,DisplayPort,Headphone Out,Color Weakness Mode,Black Stabilizer,Dynamic Action Sync,Flicker Safe,Smart Energy Saving,Reader Mode,Color Calibrated,Dual Controller,On Screen Control (OSC),Wide Color Gamut,Color Depth (Number of Colors),Pixel Pitch (mm),Speaker,2020 Model,NVIDIA G-Sync™,1ms Motion Blur Reduction,Display Type,Super Resolution+,Curved,freesync,freesync_premium,freesync_premium_pro,HDR,response_time_ms,refresh_rate(hz)
0,27UP650-W,LG 27” UHD IPS Monitor with VESA DisplayHDR 400 (27UP650-W) | LG USA,450.0,0.0,NaN,27.0,DCI-P3 95% (CIE1976),16:9,UHD,3840 x 2160,320cd (Min)/400cd (Typ),"1000:1 (Min.), 1200:1 (Typ.)",Anti-Glare,1,1,1,1,1,1,1,1,1,1,1,1,1,1.07B,0.155,0,0,0,0,IPS,0,0,1,0,0,1,5,60
1,32UL500-W,32” UHD HDR10 Monitor with AMD FreeSync™,349.99,25.0,4.6,32.0,DCI-P3 95% (CIE1976),16:9,4K,3840 x 2160,300cd/m²,3000:1,Anti-Glare,1,1,1,1,1,1,1,1,1,1,1,1,1,1.07B,0.181,1,1,0,0,VA,0,0,1,0,0,1,4,60
2,32UP550-W,LG 32'' UHD HDR Monitor with USB-C Connectivity (32UP550-W) | LG USA,450.0,0.0,NaN,32.0,DCI-P3 90% (CIE1976),16:9,UHD,3840 x 2160,280cd (Min)/350cd (Typ),"1800:1 (Min.), 3000:1 (Typ.)",Anti-Glare,1,1,1,1,1,1,1,1,1,0,1,1,1,1.07B,0.181,1,0,0,0,VA,1,0,1,0,0,1,4,60
3,27GL850-B,LG 27GL850 27'' UltraGear™ Nano IPS 1ms Gaming Monitor with G-Sync® Compatibility,399.99,99.0,4.4,27.0,DCI-P3 98% (CIE1976),16:9,QHD,2560x1440,350cd (typ) / 280cd (Min),"700:1 (Min.), 1000:1 (Typ.)","Haze 25%, 3H",2,1,1,0,1,1,1,1,1,1,0,0,1,1.07B,0.233,0,0,1,1,IPS,1,0,0,0,0,1,1,144
4,32GP850-B,32'' UltraGear QHD Nano IPS 1ms 165Hz HDR Monitor with G-SYNC® Compatibility,599.99,57.0,4.7,32.0,DCI-P3 98% (CIE1976),16:9,QHD,2560 x 1440,280cd (Min)/350cd (Typ),"700:1 (Min.), 1000:1 (Typ.)",Anti Glare,1,1,1,0,1,1,1,1,1,1,0,1,1,1.07B,0.272,0,0,1,0,IPS,0,0,0,1,0,1,1,165
5,27GP850-B,27'' UltraGear QHD Nano IPS 1ms 165Hz HDR Monitor with G-SYNC® Compatibility,499.99,57.0,4.9,27.0,DCI-P3 98% (CIE1976),16:9,QHD,2560 x 1440,320cd (Min)/400cd (Typ),"700:1 (Min.), 1000:1 (Typ.)",Anti-Glare,1,1,1,0,1,1,1,1,1,1,0,1,1,1.07B,0.233,0,0,1,0,IPS,0,0,0,1,0,1,1,165
6,27MP60G-B,LG 27'' FHD IPS Monitor with FreeSync™ (27MP60G-B) | LG USA,179.99,0.0,NaN,27.0,NTSC 72% (CIE1931),16:9,FHD,1920 x 1080,250cd (typ)/200cd (Min),"600:1 (Min.), 1000:1 (Typ.)",Anti-Glare,1,1,1,1,1,1,1,1,1,0,0,1,0,16.7M,0.311,0,0,0,0,Nano IPS,1,0,1,0,0,0,5,75
7,24QP500-B,LG 24'' QHD IPS HDR 10 Monitor with FreeSync™ (24QP500-B) | LG USA,199.99,0.0,NaN,24.0,sRGB 99% Color Gamut,16:9,QHD,2560x1440,240cd (Min)/300cd (Typ),"700:1 (Min.), 1000:1 (Typ.)",Anti-Glare,1,1,1,1,1,1,1,1,1,0,1,1,0,16.7M,0.205,0,0,0,0,IPS,0,0,1,0,0,1,5,75
8,27ML600M-B,27” FHD IPS 3-Side Borderless Monitor with Dual HDMI,199.99,7.0,5.0,27.0,NTSC 72% (CIE1931),16:9,FHD,1920 x 1080,250cd (Typ.)/200cd (Min.),"600:1 (Min.), 1000:1 (Typ.)","Anti-Glare, 3H",2,0,1,1,1,1,1,1,1,1,0,1,0,16.7M,0.311,0,0,0,1,IPS,0,0,1,0,0,0,5,60
9,27GN750-B,27” UltraGear FHD IPS 1ms 240Hz G-Sync Compatible HDR10 3-Side Virtually Borderless Gaming Monitor,399.99,25.0,4.7,27.0,sRGB 99% (CIE1931),16:9,FHD,1920 x 1080,400cd (Typ.)/320cd (Min.),"700:1 (Min.), 1000:1 (Typ.)","Haze 25%, 3H",2,1,1,0,1,1,1,1,1,1,0,1,0,16.7M,0.31,0,1,1,1,IPS,0,0,0,1,0,1,1,240
10,27GN650-B,27'' UltraGear FHD IPS 1ms 144Hz HDR Monitor with G-SYNC Compatibility,299.99,11.0,4.9,27.0,sRGB 99% (CIE1931),16:9,FHD,1920 x 1080,350cd/m²,1000:1,Anti-Glare,2,1,1,0,1,1,1,1,1,1,0,1,0,16.7M,0.31,0,0,1,1,IPS,0,0,0,1,0,1,1,144
11,27GN800-B,27'' UltraGear QHD IPS 1ms 144Hz HDR Monitor with G-SYNC Compatibility,299.99,19.0,4.5,27.0,sRGB 99% (CIE1931),16:9,QHD,2560 x 1440,350cd/m²,1000:1,Anti-Glare,2,1,1,0,1,1,1,1,1,1,0,1,0,1.07B,0.233,0,0,1,1,IPS,0,0,0,1,0,1,1,144
12,27GP950-B,27'' UltraGear UHD Nano IPS 1ms 144Hz HDR600 Monitor with G-SYNC® Compatibility,899.99,59.0,4.6,27.0,DCI-P3 98% (CIE1976),16:9,UHD,3840 x 2160,360cd (Min)/400cd (Typ),"700:1 (Min.), 1000:1 (Typ.)",Anti-Glare,1,1,1,0,1,1,1,1,1,1,0,1,1,1.07B,0.155,0,0,1,0,IPS,0,0,0,0,1,1,1,144
13,27GN950-B,27'' UltraGear 4K UHD Nano IPS 1ms 144Hz G-Sync Compatible Gaming Monitor,799.99,132.0,4.0,27.0,DCI-P3 98% (CIE1976),16:9,4K,3840 x 2160,400nits (typ),1000:1,N/A,1,1,1,0,1,1,1,1,1,1,0,1,1,1.07B,0.155,0,1,1,1,Nano IPS,0,0,0,0,1,1,1,144
14,32UN880-B,LG 32UN880-B 32 Inch UltraFine™ Display Ergo 4K HDR10 Monitor,699.99,53.0,4.3,31.5,DCI-P3 95% (CIE1976),16:9,4K,3840 x 2160,350nits (typ),1000:1,Anti-Glare,1,1,1,1,1,1,1,1,1,1,1,1,1,1.07B,0.181,1,1,0,0,IPS,1,0,1,0,0,1,5,60
15,32EP950-B,LG 32” UltraFine Display OLED Pro Monitor (32EP950-B) | LG USA,3999.99,0.0,NaN,32.0,Adobe RGB & DCI-P3 99% (CIE1976),16:9,UHD,3840 x 2160,230cd (Min)/250cd (Typ),1M:1,Anti Glare,1,2,1,0,0,1,0,0,0,1,1,1,1,1.07B,0.181,0,0,0,0,OLED,0,0,0,0,0,1,1,60
16,34GP950G-B,LG 34” UltraGear Gaming Monitor (34GP950G-B) | LG USA,1299.99,0.0,NaN,34.0,DCI-P3 98% (CIE1976),21:9,UW-QHD,3440 x 1440,400cd (typ)/320cd (Min),"700:1 (Min.), 1000:1 (Typ.)",N/A,1,1,1,0,1,1,1,1,1,1,0,1,1,1.07B,0.232,0,0,1,0,IPS,0,1,0,0,0,1,1,144
17,49WL95C-W,LG 49WL95C-W 49 Inch 32:9 UltraWide Dual QHD IPS Curved LED Monitor with HDR 10,1499.99,71.0,4.2,49.0,sRGB 99% (CIE1931),32:9,UW-DQHD,5120 x 1440,350cd (typ) / 280cd (Min),"700:1 (Min.), 1000:1 (Typ.)","Anti Glare, 3H",1,1,1,1,0,1,1,1,1,1,1,1,0,1.07B,0.234,1,0,0,0,IPS,1,1,0,0,0,1,5,60
18,38WN95C-W,LG 38WN95C-W 38 Inch UltraWide QHD+ IPS Curved Monitor with Thunderbolt™ 3 Connectivity,1599.99,37.0,4.4,38.0,DCI-P3 98% (CIE1976),21:9,UW-QHD,3840 x 1600,450cd/m²,1000:1,Anti-Glare,1,1,1,0,1,1,1,1,1,1,1,1,1,1.07B,0.229,1,1,1,1,IPS,1,1,0,0,1,1,1,144
19,34WK95U-W,34'' Class 21:9 UltraWide® 5K2K Nano IPS LED Monitor with HDR 600 (34'' Diagonal) ,1499.99,97.0,2.9,34.0,DCI-P3 98% (CIE1976),21:9,UW-UHD,5120 x 2160,"450 (Typ), 360 (min) cd/m2",1200:1 (Typ),N/A,2,1,1,0,0,0,0,1,1,0,0,1,0,1.07B,0.181,0,0,0,0,Nano IPS,1,0,0,0,0,1,5,75
